scen_number;MSR;RES_target_2030;H2_demand_2030;H2_demand_2050;CNH2_cap_target_2024;CNH2_cap_target_2030;CNH2_cap_target_2040;CNH2_demand_2024;CNH2_demand_2030;CNH2_demand_2040;gamma;max_em_change;Additionality_pre_2030;Additionality_post_2030;H2_balance;import;run_theoretical_min;H2FP_tender_2030;H2CfD_tender_2030;H2_cap_grant;H2_cap_tax_reduct;fix_generation;max_support_duration;ref_scen_number;Sens_analysis;hot_start;Comments
1;NO;0.45;20;50;0;0;0;0;0;0;1;100;NA;NA;Daily;YES;NO;NO;NO;NO;NO;NO;8760;1;NO;YES;Used to calibrate MACC
2;NO;0.45;20;50;0;0;0;0;0;0;1;100;NA;NA;Daily;YES;NO;NO;NO;NO;NO;NO;8760;1;NO;YES;No target
3;NO;0.45;20;50;0;0;0;0;10;0;1;100;NA;NA;Daily;YES;NO;YES;NO;NO;NO;NO;8760;1;NO;YES;Fixed Premium
4;NO;0.45;20;50;0;0;0;0;10;0;1;100;NA;NA;Daily;YES;NO;NO;YES;NO;NO;NO;8760;1;NO;YES;H contract for Difference
5;NO;0.45;20;50;0;0;0;0;10;0;1;100;NA;NA;Daily;YES;NO;NO;NO;YES;NO;NO;8760;1;NO;YES;Capacity Grant
6;NO;0.45;20;50;0;0;0;0;10;0;1;100;NA;NA;Daily;YES;NO;NO;NO;NO;YES;NO;8760;1;NO;YES;Tax deduction (%)
7;NO;0.45;20;50;0;0;0;0;10;0;1;100;NA;NA;Daily;YES;NO;YES;NO;NO;NO;NO;3000;1;NO;YES;Fixed Premium with limit on 3000h operating hours
8;NO;0.45;20;50;0;0;0;0;10;0;1;100;NA;NA;Daily;YES;NO;YES;NO;NO;NO;NO;4000;1;NO;YES;Fixed Premium with limit on 4000h operating hours
9;NO;0.45;20;50;0;0;0;0;10;0;1;100;NA;NA;Daily;YES;NO;YES;NO;NO;NO;NO;5000;1;NO;YES;Fixed Premium with limit on 5000h operating hours
10;NO;0.45;20;50;0;0;0;0;10;0;1;100;NA;NA;Daily;YES;NO;YES;NO;NO;NO;YES;8760;1;NO;YES;Fixed premium with fixed generation
11;NO;0.45;20;50;10;10;0;0;0;0;1;100;NA;NA;Daily;YES;NO;YES;NO;NO;NO;NO;8760;1;NO;YES;
12;NO;0.45;20;50;10;10;0;0;0;0;1;100;NA;NA;Daily;YES;NO;NO;YES;NO;NO;NO;8760;1;NO;YES;
13;NO;0.45;20;50;10;10;0;0;0;0;1;100;NA;NA;Daily;YES;NO;NO;NO;YES;NO;NO;8760;1;NO;YES;
14;NO;0.45;20;50;10;10;0;0;0;0;1;100;NA;NA;Daily;YES;NO;NO;NO;NO;YES;NO;8760;1;NO;YES;
15;NO;0.45;20;50;10;10;0;0;0;0;1;100;NA;NA;Daily;YES;NO;YES;NO;NO;NO;NO;3000;1;NO;YES;
16;NO;0.45;20;50;10;10;0;0;0;0;1;100;NA;NA;Daily;YES;NO;YES;NO;NO;NO;NO;4000;1;NO;YES;
17;NO;0.45;20;50;10;10;0;0;0;0;1;100;NA;NA;Daily;YES;NO;YES;NO;NO;NO;NO;5000;1;NO;YES;
18;NO;0.45;20;50;0;0;0;0;0;0;1;100;NA;NA;Yearly;YES;NO;NO;NO;NO;NO;NO;8760;1;NO;YES;
19;NO;0.45;20;50;0;0;0;0;1;0;1;100;NA;NA;Yearly;YES;NO;YES;NO;NO;NO;NO;8760;1;NO;YES;
20;NO;0.45;20;50;0;0;0;0;1;0;1;100;NA;NA;Yearly;YES;NO;NO;YES;NO;NO;NO;8760;1;NO;YES;
21;NO;0.45;20;50;0;0;0;0;1;0;1;100;NA;NA;Yearly;YES;NO;NO;NO;YES;NO;NO;8760;1;NO;YES;
22;NO;0.45;20;50;0;0;0;0;1;0;1;100;NA;NA;Yearly;YES;NO;NO;NO;NO;YES;NO;8760;1;NO;YES;
23;NO;0.45;20;50;0;0;0;0;1;0;1;100;NA;NA;Yearly;YES;NO;YES;NO;NO;NO;NO;3000;1;NO;YES;
24;NO;0.45;20;50;0;0;0;0;1;0;1;100;NA;NA;Yearly;YES;NO;YES;NO;NO;NO;NO;4000;1;NO;YES;
25;NO;0.45;20;50;0;0;0;0;1;0;1;100;NA;NA;Yearly;YES;NO;YES;NO;NO;NO;NO;5000;1;NO;YES;
26;NO;0.45;20;50;10;10;0;0;0;0;1;100;NA;NA;Yearly;YES;NO;YES;NO;NO;NO;NO;8760;1;NO;YES;
27;NO;0.45;20;50;10;10;0;0;0;0;1;100;NA;NA;Yearly;YES;NO;NO;YES;NO;NO;NO;8760;1;NO;YES;
28;NO;0.45;20;50;10;10;0;0;0;0;1;100;NA;NA;Yearly;YES;NO;NO;NO;YES;NO;NO;8760;1;NO;YES;
29;NO;0.45;20;50;10;10;0;0;0;0;1;100;NA;NA;Yearly;YES;NO;NO;NO;NO;YES;NO;8760;1;NO;YES;
30;NO;0.45;20;50;10;10;0;0;0;0;1;100;NA;NA;Yearly;YES;NO;YES;NO;NO;NO;NO;3000;1;NO;YES;
31;NO;0.45;20;50;10;10;0;0;0;0;1;100;NA;NA;Yearly;YES;NO;YES;NO;NO;NO;NO;4000;1;NO;YES;
32;NO;0.45;20;50;10;10;0;0;0;0;1;100;NA;NA;Yearly;YES;NO;YES;NO;NO;NO;NO;5000;1;NO;YES;
